TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,5,5,5,5,5,5,5,5,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,1,1,1,1,1,
9,6,6,6,6,10,10,10,10,10,10,
10,30,30,39,39,39,39,39,39,39,39,
11,7,7,11,11,14,14,14,14,16,16,
12,23,23,48,48,53,53,56,56,58,58,
13,8,8,9,9,17,17,19,19,39,39,
14,6,6,7,7,11,11,14,14,19,19,
15,39,39,43,43,47,47,52,52,66,66,
16,21,21,24,24,35,35,37,38,40,40,
17,55,55,67,67,105,105,130,130,137,137,
18,39,39,44,44,53,54,56,56,57,57,
19,49,49,61,61,78,78,86,86,90,90,
20,47,47,54,55,62,62,63,63,64,64,
21,65,65,83,83,97,97,112,112,114,114,
22,54,55,58,63,73,73,81,81,88,88,
23,79,79,107,107,115,115,132,132,137,140,
24,39,44,52,52,61,61,69,69,88,105,
25,71,71,84,84,87,88,98,102,138,160,
26,60,60,73,73,89,90,102,120,146,192,
27,93,93,101,102,117,126,152,167,236,269,
28,69,69,87,88,104,117,138,175,217,313,
29,89,90,93,98,132,145,195,225,311,356,
30,75,75,100,108,132,167,191,266,297,420,
31,104,114,124,140,193,213,283,311,382,405,
32,83,84,101,129,148,212,234,344,358,388,
33,98,112,135,148,199,226,289,307,328,328,
34,81,89,102,151,165,246,260,291,291,291,
35,90,106,135,152,195,210,226,226,226,226,
36,72,90,101,157,167,195,195,195,195,195,
37,60,71,106,116,134,134,134,134,134,134,
38,48,70,75,99,99,99,99,99,99,99,
39,34,41,53,53,53,53,53,53,53,53,
40,20,30,30,30,30,30,30,30,30,30,
41,11,11,11,11,11,11,11,11,11,11,
42,6,6,6,6,6,6,6,6,6,6,
