TURN,1,2,3,4,5,6,7,8,9,10
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,15,15,15,15,15,15,15,15,
7,0,0,0,0,0,0,0,0,0,0,
8,18,18,18,18,18,18,18,18,18,18,
9,0,0,0,0,2,2,2,2,2,2,
10,12,12,12,12,12,12,12,12,12,12,
11,0,0,2,2,6,6,6,6,6,6,
12,24,24,36,36,36,36,36,36,36,36,
13,2,2,2,2,11,11,11,11,36,36,
14,24,24,26,26,26,26,27,27,27,27,
15,34,34,34,34,38,38,42,42,76,76,
16,21,21,23,23,23,23,23,33,33,33,
17,28,28,51,51,126,126,165,165,175,175,
18,30,30,32,32,34,50,50,53,54,59,
19,47,47,111,111,134,134,138,138,149,149,
20,98,98,103,113,118,118,118,119,120,120,
21,79,79,176,176,185,185,196,196,198,198,
22,52,64,73,103,112,122,127,130,134,175,
23,133,133,175,175,182,182,197,197,239,239,
24,86,113,122,132,138,147,150,189,192,198,
25,109,109,130,130,166,166,189,189,210,225,
26,59,90,103,126,130,163,165,168,185,232,
27,118,118,159,159,198,198,212,221,271,279,
28,68,100,109,149,155,167,182,220,231,305,
29,133,133,165,165,203,213,245,254,326,353,
30,100,131,142,168,183,221,230,286,300,386,
31,108,108,153,162,201,206,262,282,312,337,
32,72,107,118,156,161,213,221,281,302,343,
33,133,138,166,170,208,222,246,269,290,290,
34,95,131,136,173,181,228,245,269,269,269,
35,99,105,133,139,158,176,192,192,192,192,
36,58,97,101,133,149,167,167,167,167,167,
37,56,60,72,84,100,100,100,100,100,100,
38,36,51,61,85,85,85,85,85,85,85,
39,25,30,47,47,47,47,47,47,47,47,
40,16,32,32,32,32,32,32,32,32,32,
41,12,12,12,12,12,12,12,12,12,12,
42,8,8,8,8,8,8,8,8,8,8,
